rx_index,time_ns,softOut,rx_bit,tx_bit
252,258885000,-46,1,1
253,259885000,-46,1,1
254,260885000,-42,1,1
255,261885000,42,0,0
256,262885000,46,0,0
257,263885000,48,0,0
258,264885000,46,0,0
259,265885000,42,0,0
260,266885000,-42,1,1
261,267885000,-42,1,1
262,268885000,42,0,0
263,269885000,46,0,0
264,270885000,46,0,0
265,271885000,40,0,0
266,272885000,-38,1,1
267,273885000,38,0,0
268,274885000,-38,1,1
269,275885000,38,0,0
270,276885000,-38,1,1
271,277885000,38,0,0
272,278885000,-40,1,1
273,279885000,-42,1,1
274,280885000,42,0,0
275,281885000,46,0,0
276,282885000,46,0,0
277,283885000,40,0,0
278,284885000,-38,1,1
279,285885000,38,0,0
280,286885000,-40,1,1
281,287885000,-46,1,1
282,288885000,-42,1,1
283,289885000,42,0,0
284,290885000,46,0,0
285,291885000,46,0,0
286,292885000,40,0,0
287,293885000,-40,1,1
288,294885000,40,0,0
289,295885000,40,0,0
290,296885000,-40,1,1
291,297885000,40,0,0
292,298885000,46,0,0
293,299885000,46,0,0
294,300885000,40,0,0
295,301885000,-38,1,1
296,302885000,38,0,0
297,303885000,-38,1,1
298,304885000,38,0,0
299,305885000,-40,1,1
300,306885000,-40,1,1
301,307885000,38,0,0
302,308885000,-38,1,1
303,309885000,38,0,0
304,310885000,-40,1,1
305,311885000,-40,1,1
306,312885000,40,0,0
307,313885000,-40,1,1
308,314885000,-40,1,1
309,315885000,40,0,0
310,316885000,-40,1,1
311,317885000,-40,1,1
312,318885000,40,0,0
313,319885000,-40,1,1
314,320885000,-42,1,1
315,321885000,42,0,0
316,322885000,40,0,0
317,323885000,-40,1,1
318,324885000,40,0,0
319,325885000,46,0,0
320,326885000,46,0,0
321,327885000,40,0,0
322,328885000,-40,1,1
323,329885000,40,0,0
324,330885000,42,0,0
325,331885000,-42,1,1
326,332885000,-46,1,1
327,333885000,-42,1,1
328,334885000,42,0,0
329,335885000,46,0,0
330,336885000,42,0,0
331,337885000,-42,1,1
332,338885000,-46,1,1
333,339885000,-46,1,1
