filter,rx_index,time_ps,softOut,rx_bit,tx_bit
fir,0,6835000,-16,1,1
legacy,0,6885000,-20,1,1
fir,1,7835000,-32,1,1
legacy,1,7885000,-20,1,1
fir,2,8835000,24,0,0
legacy,2,8885000,30,0,0
fir,3,9835000,-36,1,1
legacy,3,9885000,-40,1,1
fir,4,10835000,-42,1,1
legacy,4,10885000,-46,1,1
fir,5,11835000,-38,1,1
legacy,5,11885000,-42,1,1
fir,6,12835000,42,0,0
legacy,6,12885000,42,0,0
fir,7,13835000,36,0,0
legacy,7,13885000,40,0,0
fir,8,14835000,-38,1,1
legacy,8,14885000,-38,1,1
fir,9,15835000,42,0,0
legacy,9,15885000,38,0,0
fir,10,16835000,-42,1,1
legacy,10,16885000,-38,1,1
fir,11,17835000,44,0,0
legacy,11,17885000,40,0,0
fir,12,18835000,44,0,0
legacy,12,18885000,46,0,0
fir,13,19835000,36,0,0
legacy,13,19885000,40,0,0
fir,14,20835000,-38,1,1
legacy,14,20885000,-38,1,1
fir,15,21835000,42,0,0
legacy,15,21885000,38,0,0
fir,16,22835000,-42,1,1
legacy,16,22885000,-38,1,1
fir,17,23835000,42,0,0
legacy,17,23885000,38,0,0
fir,18,24835000,-42,1,1
legacy,18,24885000,-38,1,1
fir,19,25835000,44,0,0
legacy,19,25885000,40,0,0
fir,20,26835000,36,0,0
legacy,20,26885000,40,0,0
fir,21,27835000,-38,1,1
legacy,21,27885000,-40,1,1
fir,22,28835000,44,0,0
legacy,22,28885000,40,0,0
fir,23,29835000,36,0,0
legacy,23,29885000,40,0,0
fir,24,30835000,-38,1,1
legacy,24,30885000,-38,1,1
fir,25,31835000,42,0,0
legacy,25,31885000,38,0,0
fir,26,32835000,-44,1,1
legacy,26,32885000,-40,1,1
fir,27,33835000,-42,1,1
legacy,27,33885000,-46,1,1
fir,28,34835000,-42,1,1
legacy,28,34885000,-46,1,1
fir,29,35835000,-38,1,1
legacy,29,35885000,-40,1,1
fir,30,36835000,40,0,0
legacy,30,36885000,38,0,0
fir,31,37835000,-42,1,1
legacy,31,37885000,-38,1,1
fir,32,38835000,44,0,0
legacy,32,38885000,40,0,0
fir,33,39835000,44,0,0
legacy,33,39885000,46,0,0
fir,34,40835000,36,0,0
legacy,34,40885000,40,0,0
fir,35,41835000,-38,1,1
legacy,35,41885000,-38,1,1
fir,36,42835000,42,0,0
legacy,36,42885000,38,0,0
fir,37,43835000,-44,1,1
legacy,37,43885000,-40,1,1
fir,38,44835000,-38,1,1
legacy,38,44885000,-40,1,1
fir,39,45835000,40,0,0
legacy,39,45885000,40,0,0
fir,40,46835000,-44,1,1
legacy,40,46885000,-40,1,1
fir,41,47835000,-42,1,1
legacy,41,47885000,-46,1,1
fir,42,48835000,-42,1,1
legacy,42,48885000,-48,1,1
fir,43,49835000,-42,1,1
legacy,43,49885000,-48,1,1
fir,44,50835000,-42,1,1
legacy,44,50885000,-48,1,1
fir,45,51835000,-42,1,1
legacy,45,51885000,-46,1,1
fir,46,52835000,-38,1,1
legacy,46,52885000,-40,1,1
fir,47,53835000,40,0,0
legacy,47,53885000,38,0,0
fir,48,54835000,-42,1,1
legacy,48,54885000,-38,1,1
fir,49,55835000,42,0,0
legacy,49,55885000,38,0,0
fir,50,56835000,-44,1,1
legacy,50,56885000,-40,1,1
fir,51,57835000,-42,1,1
legacy,51,57885000,-46,1,1
fir,52,58835000,-42,1,1
legacy,52,58885000,-48,1,1
fir,53,59835000,-42,1,1
legacy,53,59885000,-48,1,1
fir,54,60835000,-42,1,1
legacy,54,60885000,-48,1,1
fir,55,61835000,-42,1,1
legacy,55,61885000,-48,1,1
fir,56,62835000,-42,1,1
legacy,56,62885000,-48,1,1
fir,57,63835000,-42,1,1
legacy,57,63885000,-48,1,1
fir,58,64835000,-42,1,1
legacy,58,64885000,-48,1,1
fir,59,65835000,-42,1,1
legacy,59,65885000,-48,1,1
fir,60,66835000,-42,1,1
legacy,60,66885000,-48,1,1
fir,61,67835000,-42,1,1
legacy,61,67885000,-46,1,1
fir,62,68835000,-38,1,1
legacy,62,68885000,-40,1,1
fir,63,69835000,40,0,0
legacy,63,69885000,40,0,0
fir,64,70835000,-44,1,1
legacy,64,70885000,-40,1,1
fir,65,71835000,-38,1,1
legacy,65,71885000,-42,1,1
fir,66,72835000,42,0,0
legacy,66,72885000,42,0,0
fir,67,73835000,42,0,0
legacy,67,73885000,46,0,0
fir,68,74835000,42,0,0
legacy,68,74885000,48,0,0
fir,69,75835000,44,0,0
legacy,69,75885000,46,0,0
fir,70,76835000,36,0,0
legacy,70,76885000,42,0,0
fir,71,77835000,-40,1,1
legacy,71,77885000,-42,1,1
fir,72,78835000,-38,1,1
legacy,72,78885000,-42,1,1
fir,73,79835000,42,0,0
legacy,73,79885000,42,0,0
fir,74,80835000,44,0,0
legacy,74,80885000,46,0,0
fir,75,81835000,36,0,0
legacy,75,81885000,40,0,0
fir,76,82835000,-38,1,1
legacy,76,82885000,-38,1,1
fir,77,83835000,42,0,0
legacy,77,83885000,38,0,0
fir,78,84835000,-42,1,1
legacy,78,84885000,-38,1,1
fir,79,85835000,44,0,0
legacy,79,85885000,40,0,0
fir,80,86835000,36,0,0
legacy,80,86885000,42,0,0
fir,81,87835000,-40,1,1
legacy,81,87885000,-42,1,1
fir,82,88835000,-38,1,1
legacy,82,88885000,-40,1,1
fir,83,89835000,40,0,0
legacy,83,89885000,38,0,0
fir,84,90835000,-42,1,1
legacy,84,90885000,-38,1,1
fir,85,91835000,44,0,0
legacy,85,91885000,40,0,0
fir,86,92835000,44,0,0
legacy,86,92885000,46,0,0
fir,87,93835000,36,0,0
legacy,87,93885000,40,0,0
fir,88,94835000,-38,1,1
legacy,88,94885000,-38,1,1
fir,89,95835000,42,0,0
legacy,89,95885000,38,0,0
fir,90,96835000,-42,1,1
legacy,90,96885000,-38,1,1
fir,91,97835000,44,0,0
legacy,91,97885000,40,0,0
fir,92,98835000,44,0,0
legacy,92,98885000,46,0,0
fir,93,99835000,36,0,0
legacy,93,99885000,42,0,0
fir,94,100835000,-40,1,1
legacy,94,100885000,-42,1,1
fir,95,101835000,-38,1,1
legacy,95,101885000,-40,1,1
fir,96,102835000,40,0,0
legacy,96,102885000,40,0,0
fir,97,103835000,-44,1,1
legacy,97,103885000,-40,1,1
fir,98,104835000,-42,1,1
legacy,98,104885000,-46,1,1
fir,99,105835000,-42,1,1
legacy,99,105885000,-48,1,1
fir,100,106835000,-42,1,1
legacy,100,106885000,-46,1,1
fir,101,107835000,-38,1,1
legacy,101,107885000,-40,1,1
fir,102,108835000,40,0,0
legacy,102,108885000,38,0,0
fir,103,109835000,-42,1,1
legacy,103,109885000,-38,1,1
fir,104,110835000,42,0,0
legacy,104,110885000,38,0,0
fir,105,111835000,-42,1,1
legacy,105,111885000,-38,1,1
fir,106,112835000,44,0,0
legacy,106,112885000,40,0,0
fir,107,113835000,42,0,0
legacy,107,113885000,46,0,0
fir,108,114835000,44,0,0
legacy,108,114885000,46,0,0
fir,109,115835000,36,0,0
legacy,109,115885000,40,0,0
fir,110,116835000,-38,1,1
legacy,110,116885000,-40,1,1
fir,111,117835000,44,0,0
legacy,111,117885000,40,0,0
fir,112,118835000,36,0,0
legacy,112,118885000,40,0,0
fir,113,119835000,-38,1,1
legacy,113,119885000,-40,1,1
fir,114,120835000,44,0,0
legacy,114,120885000,40,0,0
fir,115,121835000,42,0,0
legacy,115,121885000,46,0,0
fir,116,122835000,42,0,0
legacy,116,122885000,48,0,0
fir,117,123835000,44,0,0
legacy,117,123885000,46,0,0
fir,118,124835000,36,0,0
legacy,118,124885000,42,0,0
fir,119,125835000,-40,1,1
legacy,119,125885000,-42,1,1
fir,120,126835000,-38,1,1
legacy,120,126885000,-42,1,1
fir,121,127835000,42,0,0
legacy,121,127885000,42,0,0
fir,122,128835000,36,0,0
legacy,122,128885000,40,0,0
fir,123,129835000,-38,1,1
legacy,123,129885000,-38,1,1
fir,124,130835000,42,0,0
legacy,124,130885000,38,0,0
fir,125,131835000,-44,1,1
legacy,125,131885000,-40,1,1
fir,126,132835000,-42,1,1
legacy,126,132885000,-46,1,1
fir,127,133835000,-42,1,1
legacy,127,133885000,-48,1,1
fir,128,134835000,-42,1,1
legacy,128,134885000,-46,1,1
fir,129,135835000,-38,1,1
legacy,129,135885000,-42,1,1
fir,130,136835000,42,0,0
legacy,130,136885000,42,0,0
fir,131,137835000,36,0,0
legacy,131,137885000,42,0,0
fir,132,138835000,-40,1,1
legacy,132,138885000,-42,1,1
fir,133,139835000,-38,1,1
legacy,133,139885000,-40,1,1
fir,134,140835000,40,0,0
legacy,134,140885000,38,0,0
fir,135,141835000,-42,1,1
legacy,135,141885000,-38,1,1
fir,136,142835000,42,0,0
legacy,136,142885000,38,0,0
fir,137,143835000,-42,1,1
legacy,137,143885000,-38,1,1
fir,138,144835000,42,0,0
legacy,138,144885000,38,0,0
fir,139,145835000,-42,1,1
legacy,139,145885000,-38,1,1
fir,140,146835000,42,0,0
legacy,140,146885000,38,0,0
fir,141,147835000,-44,1,1
legacy,141,147885000,-40,1,1
fir,142,148835000,-42,1,1
legacy,142,148885000,-46,1,1
fir,143,149835000,-42,1,1
legacy,143,149885000,-48,1,1
fir,144,150835000,-42,1,1
legacy,144,150885000,-48,1,1
fir,145,151835000,-42,1,1
legacy,145,151885000,-48,1,1
fir,146,152835000,-42,1,1
legacy,146,152885000,-48,1,1
fir,147,153835000,-42,1,1
legacy,147,153885000,-48,1,1
fir,148,154835000,-42,1,1
legacy,148,154885000,-48,1,1
fir,149,155835000,-42,1,1
legacy,149,155885000,-48,1,1
fir,150,156835000,-42,1,1
legacy,150,156885000,-46,1,1
fir,151,157835000,-38,1,1
legacy,151,157885000,-42,1,1
fir,152,158835000,42,0,0
legacy,152,158885000,42,0,0
fir,153,159835000,44,0,0
legacy,153,159885000,46,0,0
fir,154,160835000,36,0,0
legacy,154,160885000,42,0,0
fir,155,161835000,-40,1,1
legacy,155,161885000,-42,1,1
fir,156,162835000,-42,1,1
legacy,156,162885000,-46,1,1
fir,157,163835000,-42,1,1
legacy,157,163885000,-46,1,1
fir,158,164835000,-38,1,1
legacy,158,164885000,-42,1,1
fir,159,165835000,42,0,0
legacy,159,165885000,42,0,0
fir,160,166835000,44,0,0
legacy,160,166885000,46,0,0
fir,161,167835000,36,0,0
legacy,161,167885000,42,0,0
fir,162,168835000,-40,1,1
legacy,162,168885000,-42,1,1
fir,163,169835000,-38,1,1
legacy,163,169885000,-40,1,1
fir,164,170835000,40,0,0
legacy,164,170885000,40,0,0
fir,165,171835000,-44,1,1
legacy,165,171885000,-40,1,1
fir,166,172835000,-42,1,1
legacy,166,172885000,-46,1,1
fir,167,173835000,-38,1,1
legacy,167,173885000,-42,1,1
fir,168,174835000,42,0,0
legacy,168,174885000,42,0,0
fir,169,175835000,36,0,0
legacy,169,175885000,40,0,0
fir,170,176835000,-38,1,1
legacy,170,176885000,-38,1,1
fir,171,177835000,42,0,0
legacy,171,177885000,38,0,0
fir,172,178835000,-44,1,1
legacy,172,178885000,-40,1,1
fir,173,179835000,-38,1,1
legacy,173,179885000,-40,1,1
fir,174,180835000,40,0,0
legacy,174,180885000,40,0,0
fir,175,181835000,-44,1,1
legacy,175,181885000,-40,1,1
fir,176,182835000,-42,1,1
legacy,176,182885000,-46,1,1
fir,177,183835000,-38,1,1
legacy,177,183885000,-40,1,1
fir,178,184835000,40,0,0
legacy,178,184885000,38,0,0
fir,179,185835000,-42,1,1
legacy,179,185885000,-38,1,1
fir,180,186835000,42,0,0
legacy,180,186885000,38,0,0
fir,181,187835000,-44,1,1
legacy,181,187885000,-40,1,1
fir,182,188835000,-42,1,1
legacy,182,188885000,-46,1,1
fir,183,189835000,-42,1,1
legacy,183,189885000,-46,1,1
fir,184,190835000,-38,1,1
legacy,184,190885000,-40,1,1
fir,185,191835000,40,0,0
legacy,185,191885000,38,0,0
fir,186,192835000,-42,1,1
legacy,186,192885000,-38,1,1
fir,187,193835000,44,0,0
legacy,187,193885000,40,0,0
fir,188,194835000,42,0,0
legacy,188,194885000,46,0,0
fir,189,195835000,44,0,0
legacy,189,195885000,46,0,0
fir,190,196835000,36,0,0
legacy,190,196885000,40,0,0
fir,191,197835000,-38,1,1
legacy,191,197885000,-40,1,1
fir,192,198835000,44,0,0
legacy,192,198885000,40,0,0
fir,193,199835000,44,0,0
legacy,193,199885000,46,0,0
fir,194,200835000,36,0,0
legacy,194,200885000,42,0,0
fir,195,201835000,-40,1,1
legacy,195,201885000,-42,1,1
fir,196,202835000,-42,1,1
legacy,196,202885000,-46,1,1
fir,197,203835000,-38,1,1
legacy,197,203885000,-40,1,1
fir,198,204835000,40,0,0
legacy,198,204885000,40,0,0
fir,199,205835000,-44,1,1
legacy,199,205885000,-40,1,1
fir,200,206835000,-38,1,1
legacy,200,206885000,-42,1,1
fir,201,207835000,42,0,0
legacy,201,207885000,42,0,0
fir,202,208835000,42,0,0
legacy,202,208885000,46,0,0
fir,203,209835000,44,0,0
legacy,203,209885000,46,0,0
fir,204,210835000,36,0,0
legacy,204,210885000,42,0,0
fir,205,211835000,-40,1,1
legacy,205,211885000,-42,1,1
fir,206,212835000,-42,1,1
legacy,206,212885000,-46,1,1
fir,207,213835000,-38,1,1
legacy,207,213885000,-42,1,1
fir,208,214835000,42,0,0
legacy,208,214885000,42,0,0
fir,209,215835000,44,0,0
legacy,209,215885000,46,0,0
fir,210,216835000,36,0,0
legacy,210,216885000,42,0,0
fir,211,217835000,-40,1,1
legacy,211,217885000,-42,1,1
fir,212,218835000,-38,1,1
legacy,212,218885000,-40,1,1
fir,213,219835000,40,0,0
legacy,213,219885000,40,0,0
fir,214,220835000,-44,1,1
legacy,214,220885000,-40,1,1
fir,215,221835000,-42,1,1
legacy,215,221885000,-46,1,1
fir,216,222835000,-38,1,1
legacy,216,222885000,-40,1,1
fir,217,223835000,40,0,0
legacy,217,223885000,40,0,0
fir,218,224835000,-44,1,1
legacy,218,224885000,-40,1,1
fir,219,225835000,-42,1,1
legacy,219,225885000,-46,1,1
fir,220,226835000,-42,1,1
legacy,220,226885000,-46,1,1
fir,221,227835000,-38,1,1
legacy,221,227885000,-40,1,1
fir,222,228835000,40,0,0
legacy,222,228885000,38,0,0
fir,223,229835000,-42,1,1
legacy,223,229885000,-38,1,1
fir,224,230835000,42,0,0
legacy,224,230885000,38,0,0
fir,225,231835000,-44,1,1
legacy,225,231885000,-40,1,1
fir,226,232835000,-42,1,1
legacy,226,232885000,-46,1,1
fir,227,233835000,-38,1,1
legacy,227,233885000,-40,1,1
fir,228,234835000,40,0,0
legacy,228,234885000,40,0,0
fir,229,235835000,-44,1,1
legacy,229,235885000,-40,1,1
fir,230,236835000,-42,1,1
legacy,230,236885000,-46,1,1
fir,231,237835000,-38,1,1
legacy,231,237885000,-42,1,1
fir,232,238835000,42,0,0
legacy,232,238885000,42,0,0
fir,233,239835000,36,0,0
legacy,233,239885000,42,0,0
fir,234,240835000,-40,1,1
legacy,234,240885000,-42,1,1
fir,235,241835000,-42,1,1
legacy,235,241885000,-46,1,1
fir,236,242835000,-38,1,1
legacy,236,242885000,-42,1,1
fir,237,243835000,42,0,0
legacy,237,243885000,42,0,0
fir,238,244835000,44,0,0
legacy,238,244885000,46,0,0
fir,239,245835000,36,0,0
legacy,239,245885000,40,0,0
fir,240,246835000,-38,1,1
legacy,240,246885000,-40,1,1
fir,241,247835000,44,0,0
legacy,241,247885000,40,0,0
fir,242,248835000,36,0,0
legacy,242,248885000,40,0,0
fir,243,249835000,-38,1,1
legacy,243,249885000,-40,1,1
fir,244,250835000,44,0,0
legacy,244,250885000,40,0,0
fir,245,251835000,42,0,0
legacy,245,251885000,46,0,0
fir,246,252835000,42,0,0
legacy,246,252885000,48,0,0
fir,247,253835000,44,0,0
legacy,247,253885000,46,0,0
fir,248,254835000,36,0,0
legacy,248,254885000,40,0,0
fir,249,255835000,-38,1,1
legacy,249,255885000,-38,1,1
fir,250,256835000,42,0,0
legacy,250,256885000,38,0,0
fir,251,257835000,-44,1,1
legacy,251,257885000,-40,1,1
fir,252,258835000,-42,1,1
legacy,252,258885000,-46,1,1
fir,253,259835000,-42,1,1
legacy,253,259885000,-46,1,1
fir,254,260835000,-38,1,1
legacy,254,260885000,-42,1,1
fir,255,261835000,42,0,0
legacy,255,261885000,42,0,0
fir,256,262835000,42,0,0
legacy,256,262885000,46,0,0
fir,257,263835000,42,0,0
legacy,257,263885000,48,0,0
fir,258,264835000,44,0,0
legacy,258,264885000,46,0,0
fir,259,265835000,36,0,0
legacy,259,265885000,42,0,0
fir,260,266835000,-40,1,1
legacy,260,266885000,-42,1,1
fir,261,267835000,-38,1,1
legacy,261,267885000,-42,1,1
fir,262,268835000,42,0,0
legacy,262,268885000,42,0,0
fir,263,269835000,42,0,0
legacy,263,269885000,46,0,0
fir,264,270835000,44,0,0
legacy,264,270885000,46,0,0
fir,265,271835000,36,0,0
legacy,265,271885000,40,0,0
fir,266,272835000,-38,1,1
legacy,266,272885000,-38,1,1
fir,267,273835000,42,0,0
legacy,267,273885000,38,0,0
fir,268,274835000,-42,1,1
legacy,268,274885000,-38,1,1
fir,269,275835000,42,0,0
legacy,269,275885000,38,0,0
fir,270,276835000,-42,1,1
legacy,270,276885000,-38,1,1
fir,271,277835000,42,0,0
legacy,271,277885000,38,0,0
fir,272,278835000,-44,1,1
legacy,272,278885000,-40,1,1
fir,273,279835000,-38,1,1
legacy,273,279885000,-42,1,1
fir,274,280835000,42,0,0
legacy,274,280885000,42,0,0
fir,275,281835000,42,0,0
legacy,275,281885000,46,0,0
fir,276,282835000,44,0,0
legacy,276,282885000,46,0,0
fir,277,283835000,36,0,0
legacy,277,283885000,40,0,0
fir,278,284835000,-38,1,1
legacy,278,284885000,-38,1,1
fir,279,285835000,42,0,0
legacy,279,285885000,38,0,0
fir,280,286835000,-44,1,1
legacy,280,286885000,-40,1,1
fir,281,287835000,-42,1,1
legacy,281,287885000,-46,1,1
fir,282,288835000,-38,1,1
legacy,282,288885000,-42,1,1
fir,283,289835000,42,0,0
legacy,283,289885000,42,0,0
fir,284,290835000,42,0,0
legacy,284,290885000,46,0,0
fir,285,291835000,44,0,0
legacy,285,291885000,46,0,0
fir,286,292835000,36,0,0
legacy,286,292885000,40,0,0
fir,287,293835000,-38,1,1
legacy,287,293885000,-40,1,1
fir,288,294835000,44,0,0
legacy,288,294885000,40,0,0
fir,289,295835000,36,0,0
legacy,289,295885000,40,0,0
fir,290,296835000,-38,1,1
legacy,290,296885000,-40,1,1
fir,291,297835000,44,0,0
legacy,291,297885000,40,0,0
fir,292,298835000,42,0,0
legacy,292,298885000,46,0,0
fir,293,299835000,44,0,0
legacy,293,299885000,46,0,0
fir,294,300835000,36,0,0
legacy,294,300885000,40,0,0
fir,295,301835000,-38,1,1
legacy,295,301885000,-38,1,1
fir,296,302835000,42,0,0
legacy,296,302885000,38,0,0
fir,297,303835000,-42,1,1
legacy,297,303885000,-38,1,1
fir,298,304835000,42,0,0
legacy,298,304885000,38,0,0
fir,299,305835000,-44,1,1
legacy,299,305885000,-40,1,1
fir,300,306835000,-38,1,1
legacy,300,306885000,-40,1,1
fir,301,307835000,40,0,0
legacy,301,307885000,38,0,0
fir,302,308835000,-42,1,1
legacy,302,308885000,-38,1,1
fir,303,309835000,42,0,0
legacy,303,309885000,38,0,0
fir,304,310835000,-44,1,1
legacy,304,310885000,-40,1,1
fir,305,311835000,-38,1,1
legacy,305,311885000,-40,1,1
fir,306,312835000,40,0,0
legacy,306,312885000,40,0,0
fir,307,313835000,-44,1,1
legacy,307,313885000,-40,1,1
fir,308,314835000,-38,1,1
legacy,308,314885000,-40,1,1
fir,309,315835000,40,0,0
legacy,309,315885000,40,0,0
fir,310,316835000,-44,1,1
legacy,310,316885000,-40,1,1
fir,311,317835000,-38,1,1
legacy,311,317885000,-40,1,1
fir,312,318835000,40,0,0
legacy,312,318885000,40,0,0
fir,313,319835000,-44,1,1
legacy,313,319885000,-40,1,1
fir,314,320835000,-38,1,1
legacy,314,320885000,-42,1,1
fir,315,321835000,42,0,0
legacy,315,321885000,42,0,0
fir,316,322835000,36,0,0
legacy,316,322885000,40,0,0
fir,317,323835000,-38,1,1
legacy,317,323885000,-40,1,1
fir,318,324835000,44,0,0
legacy,318,324885000,40,0,0
fir,319,325835000,42,0,0
legacy,319,325885000,46,0,0
fir,320,326835000,44,0,0
legacy,320,326885000,46,0,0
fir,321,327835000,36,0,0
legacy,321,327885000,40,0,0
fir,322,328835000,-38,1,1
legacy,322,328885000,-40,1,1
fir,323,329835000,44,0,0
legacy,323,329885000,40,0,0
fir,324,330835000,36,0,0
legacy,324,330885000,42,0,0
fir,325,331835000,-40,1,1
legacy,325,331885000,-42,1,1
fir,326,332835000,-42,1,1
legacy,326,332885000,-46,1,1
fir,327,333835000,-38,1,1
legacy,327,333885000,-42,1,1
fir,328,334835000,42,0,0
legacy,328,334885000,42,0,0
fir,329,335835000,44,0,0
legacy,329,335885000,46,0,0
fir,330,336835000,36,0,0
legacy,330,336885000,42,0,0
fir,331,337835000,-40,1,1
legacy,331,337885000,-42,1,1
fir,332,338835000,-42,1,1
legacy,332,338885000,-46,1,1
fir,333,339835000,-42,1,1
legacy,333,339885000,-46,1,1
fir,334,340835000,-38,1,1
legacy,334,340885000,-40,1,1
fir,335,341835000,40,0,0
legacy,335,341885000,38,0,0
fir,336,342835000,-42,1,1
legacy,336,342885000,-38,1,1
fir,337,343835000,42,0,0
legacy,337,343885000,38,0,0
fir,338,344835000,-44,1,1
legacy,338,344885000,-40,1,1
fir,339,345835000,-38,1,1
legacy,339,345885000,-42,1,1
fir,340,346835000,42,0,0
legacy,340,346885000,42,0,0
fir,341,347835000,36,0,0
legacy,341,347885000,42,0,0
fir,342,348835000,-40,1,1
legacy,342,348885000,-42,1,1
fir,343,349835000,-38,1,1
legacy,343,349885000,-40,1,1
fir,344,350835000,40,0,0
legacy,344,350885000,40,0,0
fir,345,351835000,-44,1,1
legacy,345,351885000,-40,1,1
fir,346,352835000,-38,1,1
legacy,346,352885000,-42,1,1
fir,347,353835000,42,0,0
legacy,347,353885000,42,0,0
fir,348,354835000,42,0,0
legacy,348,354885000,46,0,0
fir,349,355835000,42,0,0
legacy,349,355885000,48,0,0
fir,350,356835000,44,0,0
legacy,350,356885000,46,0,0
fir,351,357835000,36,0,0
legacy,351,357885000,40,0,0
fir,352,358835000,-38,1,1
legacy,352,358885000,-38,1,1
fir,353,359835000,42,0,0
legacy,353,359885000,38,0,0
fir,354,360835000,-42,1,1
legacy,354,360885000,-38,1,1
fir,355,361835000,44,0,0
legacy,355,361885000,40,0,0
fir,356,362835000,44,0,0
legacy,356,362885000,46,0,0
fir,357,363835000,36,0,0
legacy,357,363885000,40,0,0
fir,358,364835000,-38,1,1
legacy,358,364885000,-38,1,1
fir,359,365835000,42,0,0
legacy,359,365885000,38,0,0
fir,360,366835000,-42,1,1
legacy,360,366885000,-38,1,1
fir,361,367835000,44,0,0
legacy,361,367885000,40,0,0
fir,362,368835000,42,0,0
legacy,362,368885000,46,0,0
fir,363,369835000,42,0,0
legacy,363,369885000,48,0,0
fir,364,370835000,42,0,0
legacy,364,370885000,48,0,0
fir,365,371835000,44,0,0
legacy,365,371885000,46,0,0
fir,366,372835000,36,0,0
legacy,366,372885000,40,0,0
fir,367,373835000,-38,1,1
legacy,367,373885000,-38,1,1
fir,368,374835000,42,0,0
legacy,368,374885000,38,0,0
fir,369,375835000,-42,1,1
legacy,369,375885000,-38,1,1
fir,370,376835000,44,0,0
legacy,370,376885000,40,0,0
fir,371,377835000,42,0,0
legacy,371,377885000,46,0,0
fir,372,378835000,42,0,0
legacy,372,378885000,48,0,0
fir,373,379835000,44,0,0
legacy,373,379885000,46,0,0
fir,374,380835000,36,0,0
legacy,374,380885000,40,0,0
fir,375,381835000,-38,1,1
legacy,375,381885000,-38,1,1
fir,376,382835000,42,0,0
legacy,376,382885000,38,0,0
fir,377,383835000,-42,1,1
legacy,377,383885000,-38,1,1
fir,378,384835000,44,0,0
legacy,378,384885000,40,0,0
fir,379,385835000,36,0,0
legacy,379,385885000,42,0,0
fir,380,386835000,-40,1,1
legacy,380,386885000,-42,1,1
fir,381,387835000,-42,1,1
legacy,381,387885000,-46,1,1
fir,382,388835000,-38,1,1
legacy,382,388885000,-42,1,1
fir,383,389835000,42,0,0
legacy,383,389885000,42,0,0
fir,384,390835000,42,0,0
legacy,384,390885000,46,0,0
fir,385,391835000,44,0,0
legacy,385,391885000,46,0,0
fir,386,392835000,36,0,0
legacy,386,392885000,42,0,0
fir,387,393835000,-40,1,1
legacy,387,393885000,-42,1,1
fir,388,394835000,-38,1,1
legacy,388,394885000,-42,1,1
fir,389,395835000,42,0,0
legacy,389,395885000,42,0,0
fir,390,396835000,36,0,0
legacy,390,396885000,40,0,0
fir,391,397835000,-38,1,1
legacy,391,397885000,-40,1,1
fir,392,398835000,44,0,0
legacy,392,398885000,40,0,0
fir,393,399835000,36,0,0
legacy,393,399885000,42,0,0
fir,394,400835000,-40,1,1
legacy,394,400885000,-42,1,1
fir,395,401835000,-42,1,1
legacy,395,401885000,-46,1,1
fir,396,402835000,-38,1,1
legacy,396,402885000,-40,1,1
fir,397,403835000,40,0,0
legacy,397,403885000,40,0,0
fir,398,404835000,-44,1,1
legacy,398,404885000,-40,1,1
fir,399,405835000,-42,1,1
legacy,399,405885000,-46,1,1
fir,400,406835000,-38,1,1
legacy,400,406885000,-42,1,1
fir,401,407835000,42,0,0
legacy,401,407885000,42,0,0
fir,402,408835000,36,0,0
legacy,402,408885000,42,0,0
fir,403,409835000,-40,1,1
legacy,403,409885000,-42,1,1
fir,404,410835000,-38,1,1
legacy,404,410885000,-40,1,1
fir,405,411835000,40,0,0
legacy,405,411885000,38,0,0
fir,406,412835000,-42,1,1
legacy,406,412885000,-38,1,1
fir,407,413835000,42,0,0
legacy,407,413885000,38,0,0
fir,408,414835000,-42,1,1
legacy,408,414885000,-38,1,1
fir,409,415835000,44,0,0
legacy,409,415885000,40,0,0
fir,410,416835000,36,0,0
legacy,410,416885000,40,0,0
fir,411,417835000,-38,1,1
legacy,411,417885000,-38,1,1
fir,412,418835000,42,0,0
legacy,412,418885000,38,0,0
fir,413,419835000,-44,1,1
legacy,413,419885000,-40,1,1
fir,414,420835000,-38,1,1
legacy,414,420885000,-40,1,1
fir,415,421835000,40,0,0
legacy,415,421885000,38,0,0
fir,416,422835000,-42,1,1
legacy,416,422885000,-38,1,1
fir,417,423835000,44,0,0
legacy,417,423885000,40,0,0
fir,418,424835000,42,0,0
legacy,418,424885000,46,0,0
fir,419,425835000,42,0,0
legacy,419,425885000,48,0,0
fir,420,426835000,44,0,0
legacy,420,426885000,46,0,0
fir,421,427835000,36,0,0
legacy,421,427885000,40,0,0
fir,422,428835000,-38,1,1
legacy,422,428885000,-38,1,1
fir,423,429835000,42,0,0
legacy,423,429885000,38,0,0
fir,424,430835000,-44,1,1
legacy,424,430885000,-40,1,1
fir,425,431835000,-42,1,1
legacy,425,431885000,-46,1,1
fir,426,432835000,-42,1,1
legacy,426,432885000,-48,1,1
fir,427,433835000,-42,1,1
legacy,427,433885000,-48,1,1
fir,428,434835000,-42,1,1
legacy,428,434885000,-46,1,1
fir,429,435835000,-38,1,1
legacy,429,435885000,-40,1,1
fir,430,436835000,40,0,0
legacy,430,436885000,40,0,0
fir,431,437835000,-44,1,1
legacy,431,437885000,-40,1,1
fir,432,438835000,-38,1,1
legacy,432,438885000,-42,1,1
fir,433,439835000,42,0,0
legacy,433,439885000,42,0,0
fir,434,440835000,42,0,0
legacy,434,440885000,46,0,0
fir,435,441835000,44,0,0
legacy,435,441885000,46,0,0
