"rx_index","time_ns","softOut"
"302","308885000","-38"
"303","309885000","38"
"304","310885000","-40"
"305","311885000","-40"
"306","312885000","40"
"307","313885000","-40"
"308","314885000","-40"
"309","315885000","40"
"310","316885000","-40"
"311","317885000","-40"
"312","318885000","40"
"313","319885000","-40"
"314","320885000","-42"
"315","321885000","42"
"316","322885000","40"
"317","323885000","-40"
"318","324885000","40"
"319","325885000","46"
"320","326885000","46"
"321","327885000","40"
"322","328885000","-40"
"323","329885000","40"
"324","330885000","42"
"325","331885000","-42"
"326","332885000","-46"
"327","333885000","-42"
"328","334885000","42"
"329","335885000","46"
"330","336885000","42"
"331","337885000","-42"
"332","338885000","-46"
"333","339885000","-46"
"334","340885000","-40"
"335","341885000","38"
"336","342885000","-38"
"337","343885000","38"
"338","344885000","-40"
"339","345885000","-42"
"340","346885000","42"
"341","347885000","42"
"342","348885000","-42"
"343","349885000","-40"
"344","350885000","40"
"345","351885000","-40"
"346","352885000","-42"
"347","353885000","42"
"348","354885000","46"
"349","355885000","48"
"350","356885000","46"
"351","357885000","40"
"352","358885000","-38"
"353","359885000","38"
"354","360885000","-38"
"355","361885000","40"
"356","362885000","46"
"357","363885000","40"
"358","364885000","-38"
"359","365885000","38"
"360","366885000","-38"
"361","367885000","40"
"362","368885000","46"
"363","369885000","48"
"364","370885000","48"
"365","371885000","46"
"366","372885000","40"
"367","373885000","-38"
"368","374885000","38"
"369","375885000","-38"
"370","376885000","40"
"371","377885000","46"
"372","378885000","48"
"373","379885000","46"
"374","380885000","40"
"375","381885000","-38"
"376","382885000","38"
"377","383885000","-38"
"378","384885000","40"
"379","385885000","42"
"380","386885000","-42"
"381","387885000","-46"
"382","388885000","-42"
"383","389885000","42"
"384","390885000","46"
"385","391885000","46"
"386","392885000","42"
"387","393885000","-42"
"388","394885000","-42"
"389","395885000","42"
"390","396885000","40"
"391","397885000","-40"
"392","398885000","40"
"393","399885000","42"
"394","400885000","-42"
"395","401885000","-46"
"396","402885000","-40"
"397","403885000","40"
"398","404885000","-40"
"399","405885000","-46"
"400","406885000","-42"
"401","407885000","42"
"402","408885000","42"
"403","409885000","-42"
"404","410885000","-40"
"405","411885000","38"
"406","412885000","-38"
"407","413885000","38"
"408","414885000","-38"
"409","415885000","40"
"410","416885000","40"
"411","417885000","-38"
"412","418885000","38"
"413","419885000","-40"
"414","420885000","-40"
"415","421885000","38"
"416","422885000","-38"
"417","423885000","40"
"418","424885000","46"
"419","425885000","48"
"420","426885000","46"
"421","427885000","40"
"422","428885000","-38"
"423","429885000","38"
"424","430885000","-40"
"425","431885000","-46"
"426","432885000","-48"
"427","433885000","-48"
"428","434885000","-46"
"429","435885000","-40"
"430","436885000","40"
"431","437885000","-40"
"432","438885000","-42"
"433","439885000","42"
"434","440885000","46"
"435","441885000","46"
"436","442885000","42"
"437","443885000","-42"
"438","444885000","-42"
"439","445885000","42"
"440","446885000","42"
"441","447885000","-42"
"442","448885000","-46"
"443","449885000","-42"
"444","450885000","42"
"445","451885000","46"
"446","452885000","42"
"447","453885000","-42"
"448","454885000","-40"
"449","455885000","40"
"450","456885000","-40"
"451","457885000","-40"
"452","458885000","40"
"453","459885000","-40"
"454","460885000","-46"
"455","461885000","-42"
"456","462885000","42"
"457","463885000","46"
"458","464885000","40"
"459","465885000","-38"
"460","466885000","38"
"461","467885000","-38"
"462","468885000","40"
"463","469885000","46"
"464","470885000","46"
"465","471885000","40"
"466","472885000","-40"
"467","473885000","40"
"468","474885000","46"
"469","475885000","42"
"470","476885000","-42"
"471","477885000","-42"
"472","478885000","42"
"473","479885000","40"
"474","480885000","-38"
"475","481885000","38"
"476","482885000","-38"
"477","483885000","38"
"478","484885000","-38"
"479","485885000","40"
"480","486885000","46"
"481","487885000","46"
"482","488885000","42"
"483","489885000","-42"
"484","490885000","-40"
"485","491885000","38"
"486","492885000","-38"
"487","493885000","40"
"488","494885000","42"
"489","495885000","-42"
"490","496885000","-40"
"491","497885000","38"
"492","498885000","-38"
"493","499885000","38"
"494","500885000","-38"
"495","501885000","38"
"496","502885000","-38"
"497","503885000","38"
"498","504885000","-40"
"499","505885000","-46"
"500","506885000","-42"
"501","507885000","42"
"502","508885000","46"
"503","509885000","46"
"504","510885000","42"
"505","511885000","-42"
"506","512885000","-40"
"507","513885000","38"
"508","514885000","-38"
"509","515885000","38"
"510","516885000","-38"
"511","517885000","40"
"512","518885000","40"
"513","519885000","-40"
"514","520885000","40"
"515","521885000","42"
"516","522885000","-42"
"517","523885000","-46"
"518","524885000","-48"
"519","525885000","-46"
"520","526885000","-40"
"521","527885000","40"
"522","528885000","-40"
"523","529885000","-46"
